LC.type,LC.bodyId,c.weight,output.type,output.bodyId
LC18,1722338027,2,PVL07w_pct,1435791739
LC18,1722338027,2,PDL09z_pct,1158903092
LC18,1722338027,3,LC18,1722342048
LC18,1722338027,3,AVL19q_pct,1480524421
LC18,1722338027,2,PDL09x_pct,1344469477
LC18,1722338027,2,AVL08s_pct,1357097532
LC18,1722338027,2,AVL19e_pct,1481547572
LC18,1722338027,3,AVL19e_pct,1510851409
LC18,1722338027,4,,1661623550
LC18,1722338027,1,LC18,1753367903
LC18,1722338027,5,LC18,1723024021
LC18,1722338027,3,LC18,2337578051
LC18,1722338027,1,PVM01oz_pct,1073069488
LC18,1722338027,1,AVL19q_pct,1448452947
LC18,1722338027,1,LC18,1750984451
LC18,1722338027,3,AVL10d_pct,1633337773
LC18,1722338027,1,,1749957192
LC18,1722338027,2,,1509496531
LC18,1722338027,1,LC18,1722333142
LC18,1722338027,4,AVL19f_pct,1571246774
LC18,1722338027,6,AVL10d_pct,1632309827
LC18,1722338027,5,AVL19f_pct,1600239500
LC18,1722338027,3,AVL05ox_pct,5812991204
LC18,1722338027,5,AVL19e_pct,1691638475
LC18,1722338027,1,,1476868405
LC18,1722338027,4,AVL08s_pct,1356061127
LC18,1722338027,3,,1722005213
LC18,1722338027,3,AVL10d_pct,1447103034
LC18,1722338027,1,LC18,1718922502
LC18,1722338027,2,PVL12a_pct,1535082316
LC18,1722338027,2,LC18,5813061735
LC18,1722338027,2,PVL05oz_pct,1540241926
LC18,1722338027,4,ADL26b_pct,1013982515
LC18,1722338027,1,AVL19p_pct,1542585886
LC18,1722338027,22,PDM11w_pct,947923543
LC18,1589969344,1,AVL05t_pct,1690698128
LC18,1589969344,1,LC18,1968889019
LC18,1589969344,1,,1722332519
LC18,1589969344,1,LC18,1723023890
LC18,1589969344,1,LC18,1808958240
LC18,1589969344,1,PDL09j_a_pct,1189606310
LC18,1589969344,1,PVM01m_pct,1258631261
LC18,1589969344,1,LC18,1723015266
LC18,1589969344,1,LC18,1723019231
LC18,1589969344,1,AVL10od_pct,1352335144
LC18,1589969344,1,,5901215834
LC18,1589969344,1,AVL18z_pct,1598232593
LC18,1589969344,2,AVL08f_pct,1355736858
LC18,1589969344,1,PDL09z_pct,1128200628
LC18,1589969344,1,AVL25a_pct,1449835055
LC18,1589969344,1,,1786793680
LC18,1589969344,1,,1663997154
LC18,1589969344,2,LC18,1655479310
LC18,1589969344,1,LC18,1651701899
LC18,1589969344,2,AVL10c_pct,1539879164
LC18,1589969344,1,LC18,1722000794
LC18,1589969344,2,AVL05ox_pct,1597204590
LC18,1589969344,2,AVL19f_pct,1571246774
LC18,1589969344,1,LC18,1753385655
LC18,1589969344,1,PDL09z_pct,1344469820
LC18,1589969344,1,PVL15p_pct,5813054347
LC18,1589969344,3,AVL19q_pct,1448452947
LC18,1589969344,1,LC18,5812991798
LC18,1589969344,2,,1749957192
LC18,1589969344,3,ADL26b_pct,1013982515
LC18,1589969344,3,AVL05og_pct,1570565128
LC18,1589969344,2,AVL19p_pct,1480525157
LC18,1589969344,1,LC18,1722336465
LC18,1589969344,2,AVL05ox_pct,1691635022
LC18,1589969344,1,AVL19e_pct,5813045465
LC18,1589969344,1,PVL04r_pct,1199556510
LC18,1589969344,5,AVL19q_pct,1480524421
LC18,1589969344,1,ADL26e_pct,5813027276
LC18,1589969344,2,ADL02oa_pct,1043143311
LC18,1589969344,2,AVL10f_pct,5813046075
LC18,1589969344,1,AVL02w_pct,1387105148
LC18,1589969344,4,PVL07w_pct,1374063129
LC18,1589969344,1,AVL19e_pct,1481547572
LC18,1589969344,3,AVL05og_pct,1691310419
LC18,1589969344,1,AVL02ow_pct,5813070954
LC18,1589969344,1,LC18,1158536635
LC18,1589969344,1,LC18,1722346846
LC18,1589969344,1,AVL05r_pct,5901205169
LC18,1589969344,1,LC18,1781333390
LC18,1589969344,2,AVL08s_pct,1356061127
LC18,1589969344,1,AVL02w_pct,1292635448
LC18,1589969344,6,AVL19f_pct,1600239500
LC18,1589969344,1,,1625463216
LC18,1589969344,1,LC18,1749620832
LC18,1589969344,1,,1752703194
LC18,1589969344,1,LC18,2058273371
LC18,1589969344,1,,1723723098
LC18,1589969344,2,PVL17b_pct,1659590563
LC18,1589969344,2,AVL19n_pct,1573612290
LC18,1589969344,1,AVL18z_pct,1662947570
LC18,1589969344,4,,1661623550
LC18,1589969344,2,,1722005213
LC18,1589969344,2,AVL10d_pct,1632309827
LC18,1589969344,14,PDM11w_pct,947923543
LC18,1589969344,1,LC18,5901204412
LC18,1589969344,1,LC18,1718918235
LC18,1589969344,1,LC18,1714134140
LC18,1589969344,1,AVL19e_pct,1482579456
LC18,1589969344,2,LC18,1722341820
LC18,1589969344,1,,5813067986
LC18,1589969344,1,AVL19n_pct,1661273656
LC18,1589969344,2,,1722341103
LC18,1589969344,1,LC18,1934133595
LC18,1589969344,3,PVL03y_pct,943809606
LC18,1589969344,2,AVL02k_pct,1539547561
LC18,1589969344,2,LC18,1809302520
LC18,1589969344,3,PVL17b_pct,1449502965
LC18,1589969344,1,AVL19e_pct,1510851409
LC18,1589969344,3,AVL11y_b_pct,1166778367
LC18,1589969344,1,AVL10f_pct,5812994205
LC18,1589969344,1,,1722336742
LC18,1589969344,4,AVL05ox_pct,1630678904
LC18,1589969344,1,LC18,1621003660
LC18,1589969344,1,LC18,1722346362
LC18,1589969344,3,AVL10d_pct,1447103034
LC18,1722000794,1,LC18,1722670422
LC18,1722000794,1,AVL02w_pct,1292635448
LC18,1722000794,1,LC18,1751330026
LC18,1722000794,1,LC18,1722670151
LC18,1722000794,1,AVL08f_pct,1355736858
LC18,1722000794,1,AVL03e_pct,1504437450
LC18,1722000794,1,,1723027779
LC18,1722000794,2,PVL05d_pct,5813033596
LC18,1722000794,1,AVL11y_b_pct,5901219320
LC18,1722000794,1,AVL19q_pct,1448452947
LC18,1722000794,1,LC18,1722346362
LC18,1722000794,1,LC18,1717894837
LC18,1722000794,1,AVL13d_pct,5813061126
LC18,1722000794,1,PVL05z_pct,1566178485
LC18,1722000794,1,LC18,1559270886
LC18,1722000794,2,AVL10d_pct,1447103034
LC18,1722000794,1,AVL10od_pct,1352335144
LC18,1722000794,1,AVL25a_pct,1449835055
LC18,1722000794,1,LC18,1776553851
LC18,1722000794,3,PVL07w_pct,1435791739
LC18,1722000794,1,AVL02f_a_pct,1416766624
LC18,1722000794,1,LC18,1745860329
LC18,1722000794,2,AVL05ox_pct,1691635022
LC18,1722000794,1,LC18,1594092024
LC18,1722000794,1,,1749957192
LC18,1722000794,1,PDL09x_pct,1344469603
LC18,1722000794,1,LC18,2337578051
LC18,1722000794,1,,1664692368
LC18,1722000794,1,,1722005213
LC18,1722000794,1,AVL11y_b_pct,1166778367
LC18,1722000794,1,LC18,5812989689
LC18,1722000794,2,AVL05og_pct,1691310419
LC18,1722000794,1,LC18,1995858223
LC18,1722000794,2,AVL19e_pct,1691638475
LC18,1722000794,1,LC18,1188548330
LC18,1722000794,1,LC18,1714134140
LC18,1722000794,2,AVL08s_pct,1356061127
LC18,1722000794,1,LC18,5901204412
LC18,1722000794,1,LC18,1934133595
LC18,1722000794,1,LC18,1722005013
LC18,1722000794,1,AVL19n_pct,1573612290
LC18,1722000794,1,,1721996278
LC18,1722000794,1,AVL19e_pct,1482579456
LC18,1722000794,2,LC18,1501323994
LC18,1722000794,1,LC18,1714138461
LC18,1722000794,1,,1722336742
LC18,1722000794,1,AVL13u_pct,1477148598
LC18,1722000794,1,LC18,1249936614
LC18,1722000794,4,AVL08s_pct,1357097532
LC18,1722000794,2,AVL10f_pct,5813046075
LC18,1722000794,1,AVL05r_pct,1507139129
LC18,1722000794,1,LC18,1749620832
LC18,1722000794,1,,1414366899
LC18,1722000794,3,ADL02oa_pct,1043143311
LC18,1722000794,3,AVL16h_pct,1603260613
LC18,1722000794,3,AVL19e_pct,1510851409
LC18,1722000794,3,AVL10d_pct,1633337773
LC18,1722000794,1,AVL19e_pct,1692304756
LC18,1722000794,4,AVL10f_pct,1691298247
LC18,1722000794,2,PVL17b_pct,1449502965
LC18,1722000794,2,LC18,1722342048
LC18,1722000794,1,AVL02f_a_pct,1355042626
LC18,1722000794,1,PVL03y_pct,1570245517
LC18,1722000794,4,LC18,1750980224
LC18,1722000794,1,LC18,1718231248
LC18,1722000794,1,AVL10t_pct,1474088775
LC18,1722000794,1,LC18,1722333142
LC18,1722000794,2,AVL05ox_pct,1630678904
LC18,1722000794,2,LC18,1754041168
LC18,1722000794,3,PVL17b_pct,1659590563
LC18,1722000794,3,AVL19e_pct,1481547572
LC18,1722000794,1,AVL02w_pct,1387105148
LC18,1722000794,3,LC18,1869300439
LC18,1722000794,3,AVL19f_pct,1600239500
LC18,1722000794,1,AVL01i_pct,1222104921
LC18,1722000794,4,ADL26b_pct,1013982515
LC18,1722000794,1,LC18,1723024021
LC18,1722000794,8,AVL10f_pct,5812994205
LC18,1722000794,2,PVL04r_pct,1136502893
LC18,1722000794,2,,1751670945
LC18,1722000794,1,AVL19q_pct,1480524421
LC18,1722000794,2,LC18,1722682692
LC18,1722000794,1,LC18,1780651267
LC18,1722000794,3,AVL10q_pct,1722670598
LC18,1722000794,1,PDL09h_pct,1503733177
LC18,1722000794,18,PDM11w_pct,947923543
LC18,1722000794,2,AVL05ox_pct,5812991204
LC18,1722000794,4,AVL19f_pct,1571246774
LC18,1722000794,1,AVL05oi_pct,1508170799
LC18,1722000794,4,,1722332519
LC18,1722000794,2,LC18,1722346327
LC18,1722000794,4,PVL07w_pct,1374063129
LC18,1722000794,5,AVL10d_pct,1632309827
LC18,1722000794,2,PVM01oz_pct,1073069488
LC18,1722000794,9,PVL03y_pct,943809606
LC18,1722000794,5,PVL03y_pct,1345860891
LC18,1621003660,1,LC18,1753385655
LC18,1621003660,1,LC18,1722333392
LC18,1621003660,1,AVL08s_pct,1357097532
LC18,1621003660,1,AVL16h_pct,1603260613
LC18,1621003660,1,LC18,1965168774
LC18,1621003660,1,PVL05od_pct,1535139804
LC18,1621003660,1,,1691034393
LC18,1621003660,1,LC18,1722000978
LC18,1621003660,1,LC18,1869300439
LC18,1621003660,1,AVL08f_pct,5813017914
LC18,1621003660,1,LC18,1749620832
LC18,1621003660,1,PVL05ok_pct,1352331062
LC18,1621003660,1,LC18,1722342048
LC18,1621003660,1,LC18,1752699920
LC18,1621003660,2,AVL19e_pct,5813045465
LC18,1621003660,1,,1752703194
LC18,1621003660,1,,1749957192
LC18,1621003660,1,PVL15p_pct,5813054347
LC18,1621003660,1,AVL08s_pct,1356061127
LC18,1621003660,1,LC18,1723015266
LC18,1621003660,2,AVL02ow_pct,5813070954
LC18,1621003660,1,PVL03y_pct,943809606
LC18,1621003660,2,LC18,1722005199
LC18,1621003660,1,LC18,1723023890
LC18,1621003660,1,,1661623550
LC18,1621003660,1,AVL11y_a_pct,5813056622
LC18,1621003660,2,,1722005213
LC18,1621003660,3,PVL07w_pct,1374063129
LC18,1621003660,1,,1594087386
LC18,1621003660,1,LC18,1809302520
LC18,1621003660,1,,1722336742
LC18,1621003660,2,,1414366899
LC18,1621003660,1,LC18,1746884233
LC18,1621003660,1,AVL02f_a_pct,1416766624
LC18,1621003660,2,AVL10q_pct,1722670598
LC18,1621003660,2,ADL02oa_pct,1043143311
LC18,1621003660,1,LC12,1683756677
LC18,1621003660,1,PDL09h_pct,1503733177
LC18,1621003660,2,AVL19e_pct,1691638475
LC18,1621003660,2,AVL05r_pct,1507139129
LC18,1621003660,2,AVL19e_pct,1481547572
LC18,1621003660,2,AVL05og_pct,1570565128
LC18,1621003660,1,LC18,1722346362
LC18,1621003660,1,LC18,1722336465
LC18,1621003660,2,AVL19e_pct,1482579456
LC18,1621003660,2,AVL13u_pct,1477148598
LC18,1621003660,2,AVL19n_pct,1573612290
LC18,1621003660,1,AVL19f_pct,1571246774
LC18,1621003660,2,AVL19q_pct,1480524421
LC18,1621003660,1,LC18,5812989689
LC18,1621003660,1,AVL02f_a_pct,1355042626
LC18,1621003660,2,AVL10f_pct,5812994205
LC18,1621003660,1,,1723351932
LC18,1621003660,2,LC18,1722346846
LC18,1621003660,3,PVL07w_pct,1435791739
LC18,1621003660,2,AVL05ox_pct,5812991204
LC18,1621003660,1,,1966860704
LC18,1621003660,2,AVL10f_pct,5813046075
LC18,1621003660,1,LC18,5813034284
LC18,1621003660,5,AVL05ox_pct,1691635022
LC18,1621003660,1,LC18,1745860329
LC18,1621003660,3,AVL19q_pct,1448452947
LC18,1621003660,4,ADL26b_pct,1013982515
LC18,1621003660,2,PVM01m_pct,1258631261
LC18,1621003660,2,AVL05ox_pct,1597204590
LC18,1621003660,18,PDM11w_pct,947923543
LC18,1621003660,4,AVL19e_pct,1510851409
LC18,1621003660,1,AVL05t_pct,1690698128
LC18,1621003660,1,LC18,1723019231
LC18,1621003660,2,AVL10t_pct,1474088775
LC18,1621003660,3,AVL10d_pct,1633337773
LC18,1621003660,8,PVL17b_pct,1449502965
LC18,1621003660,2,AVL19f_pct,1601603665
LC18,1621003660,2,PVL05oz_pct,1540241926
LC18,1621003660,1,LC18,1750984451
LC18,1621003660,5,AVL10d_pct,1632309827
LC18,1621003660,1,LC12,1815773781
LC18,1621003660,3,PVL17b_pct,1659590563
LC18,1621003660,1,LC18,1871031444
LC18,1621003660,4,AVL10f_pct,1691298247
LC18,1621003660,1,LC18,5812998072
LC18,1621003660,2,LC18,1723024021
LC18,1655475659,1,AVL10q_pct,5812983517
LC18,1655475659,1,LC18,2337578051
LC18,1655475659,1,LC18,5812996595
LC18,1655475659,1,AVL18oa_pct,1290572640
LC18,1655475659,1,PVL03y_pct,943809606
LC18,1655475659,1,AVL19p_pct,1480525157
LC18,1655475659,1,AVL19p_pct,1542585886
LC18,1655475659,1,LC18,1754041168
LC18,1655475659,1,LC18,1717208400
LC18,1655475659,1,LC18,5901204412
LC18,1655475659,1,LC18,1717899693
LC18,1655475659,1,LC18,1721659644
LC18,1655475659,1,PVL12a_pct,1535082316
LC18,1655475659,1,,5901215834
LC18,1655475659,2,LC18,1594092024
LC18,1655475659,1,PVL07oi_pct,5813057579
LC18,1655475659,1,LC18,1723024021
LC18,1655475659,1,AVL08f_pct,1355736858
LC18,1655475659,3,ADL26b_pct,1013982515
LC18,1655475659,2,AVL13ob_pct,1167537600
LC18,1655475659,1,,1721996278
LC18,1655475659,1,AVL05ox_pct,1597204590
LC18,1655475659,1,AVL19e_pct,1481547572
LC18,1655475659,1,LC18,1723015266
LC18,1655475659,1,LC18,1657180509
LC18,1655475659,1,LC18,1718231248
LC18,1655475659,1,LC18,5812996611
LC18,1655475659,2,LC18,5812988294
LC18,1655475659,1,ADL26j_pct,1135441187
LC18,1655475659,1,LC18,1753367903
LC18,1655475659,2,LC18,1718922502
LC18,1655475659,1,LC18,1722342048
LC18,1655475659,1,LC18,1714138461
LC18,1655475659,1,LC18,1249936614
LC18,1655475659,2,LC18,1656157451
LC18,1655475659,1,LC18,1722682692
LC18,1655475659,1,PDL09j_a_pct,1189606310
LC18,1655475659,1,AVL05r_pct,5901205169
LC18,1655475659,3,AVL02f_a_pct,1355042626
LC18,1655475659,2,LC18,1722341820
LC18,1655475659,1,LC18,1718918235
LC18,1655475659,1,LC18,1158191622
LC18,1655475659,2,AVL19n_pct,1573612290
LC18,1655475659,1,PVL04r_pct,1199556510
LC18,1655475659,5,PVL17b_pct,1449502965
LC18,1655475659,2,PVL07w_pct,1435791739
LC18,1655475659,1,LC18,1722670422
LC18,1655475659,2,PVL04r_pct,1136502893
LC18,1655475659,2,PVL03y_pct,1570245517
LC18,1655475659,1,AVL10f_pct,1691298247
LC18,1655475659,2,AVL05r_pct,1507139129
LC18,1655475659,1,LC18,1342022174
LC18,1655475659,3,ADL02oa_pct,1043143311
LC18,1655475659,1,LC18,1752699920
LC18,1655475659,6,AVL05ox_pct,1630678904
LC18,1655475659,1,LC18,1220607239
LC18,1655475659,1,LC18,1687874488
LC18,1655475659,1,,5813053860
LC18,1655475659,2,AVL10d_pct,1632309827
LC18,1655475659,1,,1691034393
LC18,1655475659,1,,5812993407
LC18,1655475659,1,PDL09x_pct,1344469603
LC18,1655475659,4,PVL07w_pct,1374063129
LC18,1655475659,2,AVL19f_pct,1571246774
LC18,1655475659,1,AVL05r_pct,1414073219
LC18,1655475659,1,AVL11y_b_pct,1166778367
LC18,1655475659,1,AVL19q_pct,1448452947
LC18,1655475659,1,AVL11y_b_pct,5813069489
LC18,1655475659,2,,1661623550
LC18,1655475659,4,AVL10f_pct,5812994205
LC18,1655475659,2,AVL19e_pct,1692304756
LC18,1655475659,6,AVL05og_pct,1570565128
LC18,1655475659,3,AVL16h_pct,1603260613
LC18,1655475659,1,LC18,1158536635
LC18,1655475659,4,AVL19f_pct,1600239500
LC18,1655475659,2,AVL05oi_pct,1508170799
LC18,1655475659,2,AVL10f_pct,5813046075
LC18,1655475659,2,,1752703194
LC18,1655475659,2,AVL01i_pct,1222104921
LC18,1655475659,2,AVL05ox_pct,5812991204
LC18,1655475659,4,LC18,1722333743
LC18,1655475659,2,PVL17b_pct,1659590563
LC18,1655475659,11,AVL19q_pct,1480524421
LC18,1655475659,1,LC18,1722670397
LC18,1655475659,1,LC18,1722333142
LC18,1655475659,4,LC18,1717899720
LC18,1655475659,2,AVL08s_pct,1357097532
LC18,1655475659,2,PVL03y_pct,1345860891
LC18,1655475659,1,LC18,1717894837
LC18,1655475659,2,LC18,1751321418
LC18,1655475659,3,LC18,1723023890
LC18,1655475659,1,LC18,5813061735
LC18,1655475659,3,AVL05t_pct,1690698128
LC18,1655475659,7,AVL05ox_pct,1691635022
LC18,1655475659,2,LC18,1437156900
LC18,1655475659,2,AVL19e_pct,1691638475
LC18,1655475659,17,PDM11w_pct,947923543
LC18,1655475659,4,AVL10d_pct,1633337773
LC18,1655475659,1,LC18,1722337568
LC18,1655475659,2,AVL19e_pct,5813045465
LC18,1655475659,2,,1966860704
LC18,1656157978,1,AVL02f_a_pct,1355042626
LC18,1656157978,1,LC18,1754041168
LC18,1656157978,1,,1751670945
LC18,1656157978,1,LC18,1717208400
LC18,1656157978,1,PDL09j_a_pct,5812985952
LC18,1656157978,1,LC18,1749620832
LC18,1656157978,1,PVL10s_b_pct,914364284
LC18,1656157978,1,AVL10d_pct,1447103034
LC18,1656157978,1,AVL02k_pct,1539547561
LC18,1656157978,1,AVL19e_pct,5813045465
LC18,1656157978,1,LC18,1589969344
LC18,1656157978,1,AVL11y_a_pct,5813056622
LC18,1656157978,1,,1722332519
LC18,1656157978,2,AVL02ow_pct,5813070954
LC18,1656157978,1,,1721996278
LC18,1656157978,1,,1414366899
LC18,1656157978,1,AVL08f_pct,1355736858
LC18,1656157978,1,AVL05r_pct,5901205169
LC18,1656157978,1,,1722005213
LC18,1656157978,1,AVL10d_pct,1632309827
LC18,1656157978,1,LC18,1656839788
LC18,1656157978,1,LC18,2119272595
LC18,1656157978,2,,1476868405
LC18,1656157978,1,AVL19n_pct,1661273656
LC18,1656157978,1,AVL19p_pct,1480525157
LC18,1656157978,1,AVL02f_a_pct,1416766624
LC18,1656157978,1,LC18,5812989776
LC18,1656157978,1,LC18,1968889019
LC18,1656157978,1,AVL13ob_pct,1167537600
LC18,1656157978,1,LC18,1722005199
LC18,1656157978,1,LC18,1717894837
LC18,1656157978,1,AVL19q_pct,1448452947
LC18,1656157978,2,AVL05ox_pct,1691635022
LC18,1656157978,1,LC18,1342022174
LC18,1656157978,1,LC18,1718918218
LC18,1656157978,1,PVL05ot_pct,1630281172
LC18,1656157978,1,PVL03y_pct,1570245517
LC18,1656157978,2,AVL05ox_pct,5812991204
LC18,1656157978,1,AVL05ox_pct,1597204590
LC18,1656157978,1,LC18,1869300439
LC18,1656157978,1,PVL04r_pct,1136502893
LC18,1656157978,2,LC18,1808958240
LC18,1656157978,1,LC18,1657180509
LC18,1656157978,1,LC18,1965168774
LC18,1656157978,1,LC18,1750984451
LC18,1656157978,4,AVL10d_pct,1633337773
LC18,1656157978,4,PVL07w_pct,1374063129
LC18,1656157978,2,,1966860704
LC18,1656157978,1,PVL03y_pct,1345860891
LC18,1656157978,2,AVL05r_pct,1507139129
LC18,1656157978,1,LC18,1722346362
LC18,1656157978,1,LC18,1718922502
LC18,1656157978,3,AVL08s_pct,1356061127
LC18,1656157978,2,LC18,1718918235
LC18,1656157978,1,,5812993302
LC18,1656157978,1,LC18,1753385655
LC18,1656157978,2,LC18,1714138461
LC18,1656157978,3,AVL08s_pct,1357097532
LC18,1656157978,4,PVL05oz_pct,1540241926
LC18,1656157978,2,LC18,1722337568
LC18,1656157978,1,LC18,5812988294
LC18,1656157978,2,LC18,1749611399
LC18,1656157978,3,AVL19e_pct,1510851409
LC18,1656157978,1,LC18,1722670151
LC18,1656157978,2,LC18,1249936614
LC18,1656157978,1,LC18,1655479310
LC18,1656157978,6,AVL19f_pct,1600239500
LC18,1656157978,2,AVL19q_pct,1480524421
LC18,1656157978,5,AVL19f_pct,1571246774
LC18,1656157978,1,LC18,1718231248
LC18,1656157978,4,LC18,1722336935
LC18,1656157978,2,AVL10f_pct,5813046075
LC18,1656157978,3,LC18,1751330026
LC18,1656157978,2,AVL08f_pct,5813017914
LC18,1656157978,2,AVL19e_pct,1482579456
LC18,1656157978,3,AVL02w_pct,1292635448
LC18,1656157978,1,LC18,1752699920
LC18,1656157978,2,AVL19e_pct,1691638475
LC18,1656157978,1,AVL05og_pct,1570565128
LC18,1656157978,3,,1752703194
LC18,1656157978,4,AVL10f_pct,1691298247
LC18,1656157978,3,LC18,1593401239
LC18,1656157978,5,AVL05ox_pct,1630678904
LC18,1656157978,3,AVL19p_pct,1542585886
LC18,1656157978,1,LC18,1437156900
LC18,1656157978,1,PVL10t_a_pct,1289574568
LC18,1656157978,3,PVL03y_pct,943809606
LC18,1656157978,3,AVL19n_pct,1573612290
LC18,1656157978,2,AVL19e_pct,1481547572
LC18,1656157978,1,PVL05ot_pct,1660267880
LC18,1656157978,8,PVL17b_pct,1449502965
LC18,1656157978,1,LC18,1722333392
LC18,1656157978,3,ADL26b_pct,1013982515
LC18,1656157978,7,PVL07w_pct,1435791739
LC18,1656157978,2,,1749274582
LC18,1656157978,4,AVL16h_pct,1603260613
LC18,1656157978,7,ADL02oa_pct,1043143311
LC18,1656157978,4,PVL17b_pct,1659590563
LC18,1656157978,4,AVL19f_pct,1601603665
LC18,1656157978,2,AVL19e_pct,1692304756
LC18,1656157978,1,LC18,1723023890
LC18,1656157978,3,,5901215834
LC18,1656157978,6,,1661623550
LC18,1656157978,19,PDM11w_pct,947923543
LC18,1746884233,1,LC18,1722682692
LC18,1746884233,1,AVL10q_pct,5812983517
LC18,1746884233,1,AVL19e_pct,5813045465
LC18,1746884233,1,LC18,1722670422
LC18,1746884233,1,LC18,1722346362
LC18,1746884233,1,LC18,1249936614
LC18,1746884233,1,AVL25a_pct,1449835055
LC18,1746884233,1,AVL19f_pct,1571246774
LC18,1746884233,2,AVL02w_pct,1292635448
LC18,1746884233,1,AVL10oe_pct,1754446468
LC18,1746884233,1,,1416796844
LC18,1746884233,1,AVL02f_a_pct,1416766624
LC18,1746884233,1,AVL08s_pct,1357097532
LC18,1746884233,3,,1721996278
LC18,1746884233,2,AVL10d_pct,1632309827
LC18,1746884233,1,AVL19n_pct,1573612290
LC18,1746884233,1,LC18,1718922502
LC18,1746884233,1,PVL05oz_pct,1540241926
LC18,1746884233,1,LC18,1752699920
LC18,1746884233,1,LC18,1722342048
LC18,1746884233,2,AVL19e_pct,1692304756
LC18,1746884233,1,LC18,1621003660
LC18,1746884233,2,PVL05ok_pct,1352331062
LC18,1746884233,1,AVL18z_pct,1662947570
LC18,1746884233,1,LC18,1722333743
LC18,1746884233,1,PDL09z_pct,1158903092
LC18,1746884233,1,LC18,1717894837
LC18,1746884233,1,AVL05ov_pct,1663652072
LC18,1746884233,1,AVL05ox_pct,1597204590
LC18,1746884233,1,,1625463216
LC18,1746884233,2,AVL19f_pct,1600239500
LC18,1746884233,1,LC18,1722341820
LC18,1746884233,1,AVL13u_pct,1504428248
LC18,1746884233,3,AVL05ox_pct,1630678904
LC18,1746884233,1,,1534119934
LC18,1746884233,1,AVL16h_pct,1603260613
LC18,1746884233,1,PDL09z_pct,1344469820
LC18,1746884233,1,ADL02oa_pct,1043143311
LC18,1746884233,1,AVL05og_pct,1570565128
LC18,1746884233,1,,1722336742
LC18,1746884233,1,LC18,1723024021
LC18,1746884233,3,LC18,1560289552
LC18,1746884233,1,PVL04r_pct,1136502893
LC18,1746884233,1,AVL19p_pct,1542585886
LC18,1746884233,1,AVL10f_pct,5812994205
LC18,1746884233,1,LC18,1717899693
LC18,1746884233,1,AVL05og_pct,1691310419
LC18,1746884233,1,AVL19q_pct,1448452947
LC18,1746884233,1,,1722005213
LC18,1746884233,1,AVL10c_pct,1539879164
LC18,1746884233,2,AVL18x_pct,1385015126
LC18,1746884233,3,ADL26b_pct,1013982515
LC18,1746884233,4,AVL05ox_pct,5812991204
LC18,1746884233,2,PVL07w_pct,1435791739
LC18,1746884233,1,LC18,5901204412
LC18,1746884233,2,AVL11y_b_pct,5901219320
LC18,1746884233,2,LC18,1934133595
LC18,1746884233,1,,1594087386
LC18,1746884233,2,LC18,1718918218
LC18,1746884233,5,,1752703194
LC18,1746884233,4,AVL05ox_pct,1691635022
LC18,1746884233,2,,1661623550
LC18,1746884233,1,LC18,1723015266
LC18,1746884233,2,AVL10d_pct,1633337773
LC18,1746884233,1,LC18,1501323994
LC18,1746884233,2,LC18,1374413370
LC18,1746884233,3,AVL10f_pct,1691298247
LC18,1746884233,2,AVL08f_pct,1355736858
LC18,1746884233,1,LC18,1714134140
LC18,1746884233,2,LC18,1750980224
LC18,1746884233,1,LC18,1749611399
LC18,1746884233,1,LC18,1808958240
LC18,1746884233,2,LC18,1722000978
LC18,1746884233,1,,1817807927
LC18,1746884233,1,LC18,1749620832
LC18,1746884233,1,,1749274582
LC18,1746884233,5,AVL19q_pct,1480524421
LC18,1746884233,2,PVM01oz_pct,1073069488
LC18,1746884233,7,PVL17b_pct,1449502965
LC18,1746884233,2,AVL19e_pct,1482579456
LC18,1746884233,19,PDM11w_pct,947923543
LC18,1746884233,2,PVL17b_pct,1659590563
LC18,1651701899,1,LC18,1750984451
LC18,1651701899,1,LC18,1718922502
LC18,1651701899,1,LC18,1776553851
LC18,1651701899,1,LC18,5812991798
LC18,1651701899,3,PDL09z_pct,1128200628
LC18,1651701899,2,AVL05og_pct,1691310419
LC18,1651701899,1,LC18,1714138461
LC18,1651701899,1,LC18,5812989689
LC18,1651701899,1,LC18,1220607239
LC18,1651701899,1,AVL05ox_pct,1630678904
LC18,1651701899,1,AVL02oz_pct,1723385845
LC18,1651701899,1,LC18,1722336935
LC18,1651701899,2,AVL08f_pct,1355736858
LC18,1651701899,1,LC18,1717899693
LC18,1651701899,1,AVL19f_pct,1600239500
LC18,1651701899,1,LC18,5901204412
LC18,1651701899,1,LC18,1656839788
LC18,1651701899,1,AVL10d_pct,1633337773
LC18,1651701899,1,PVL04r_pct,1136502893
LC18,1651701899,1,LC18,1995858223
LC18,1651701899,1,,5812991035
LC18,1651701899,4,AVL19f_pct,1571246774
LC18,1651701899,1,AVL10c_pct,1539879164
LC18,1651701899,2,PDL09j_a_pct,5812985952
LC18,1651701899,4,AVL19e_pct,1692304756
LC18,1651701899,1,AVL05og_pct,1570565128
LC18,1651701899,2,LC18,5812996611
LC18,1651701899,2,LC18,1752699920
LC18,1651701899,1,AVL19q_pct,1480524421
LC18,1651701899,1,AVL19p_pct,1480525157
LC18,1651701899,1,PVL05oz_pct,1540241926
LC18,1651701899,3,AVL19e_pct,1691638475
LC18,1651701899,1,ADL02oa_pct,1043143311
